,,,"Fundamental Dimensions",,,"Theoretical Gore: closed mouth, no vent",,,,,"Practical Gore, with mouth and vent removed",,,,"Practical Gore, with mouth and vent removed",,,,,"Theoretical Surface with Parachute",,,,"Actual cloth needed, without parachute",,,,"Geometrically Calculated Conical Volume",,,,,,,,,,,
,,,,,,"(No seam allowance.)",,,,,"(No seam allowance)",,,,"(Seam allowance added for cutting.)",,,,,"Surface of Balloon",,,,"Total Fabric Needed",,,,"Volume",,,,"For Plotting a Single Gore",,,,,"For Plotting Balloon Profile",,
"factor","factor","Station","Radius","Diameter","Circumference","Full Gore","Half Gore","Tri-Gore Center","Tri-Gore Side","sum of three","Full Gore","Half Gore","Tri-Gore Center","Tri-Gore Side","Full Gore","Half Gore","Tri-Gore Center","Tri-Gore Side","Actual Gore Length","Total Gore Width(s)","vertical measurement","sq in","total sq ft","Total Gore Width(s)","vertical measurement","sq in","total sq ft","Pythagorus Pre-calc","Z measurement","total Z distance","volume","station","curved +","curved -","straight +","straight -","z dimension","curved +","curved -"
"Axial_Factor","Radial_Factor","Axial","Radial","Diameter","Circumference",,"Sewn_Size",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.60,0.32203,53.9 ft,28.9 ft,57.8 ft,2180.1 in,90.8 in,45.4 in,62.8 in,14.0 in,90.8 in,90.8 in,45.4 in,62.8 in,14.0 in,93.1 in,47.7 in,65.0 in,16.3 in,21.5 in,90.8 in,21.5 in,1941.4 in,324 sq ft,93.1 in,21.5 in,"1,990 sq in",332 sq ft,3.0 ft,1.7 ft,39.4 ft,4476.5 cu ft,646.47,46.54,-46.54,0.00,0.00,39.44,28.91,-28.91
0.58,0.32540,52.1 ft,29.2 ft,58.4 ft,2202.9 in,91.8 in,45.9 in,62.8 in,14.5 in,91.8 in,91.8 in,45.9 in,62.8 in,14.5 in,94.0 in,48.1 in,65.0 in,16.8 in,21.5 in,91.8 in,21.5 in,1967.7 in,328 sq ft,94.0 in,21.5 in,"2,016 sq in",336 sq ft,3.1 ft,1.8 ft,37.7 ft,4697.8 cu ft,624.92,47.02,-47.02,0.00,0.00,37.71,29.22,-29.22
0.56,0.32691,50.3 ft,29.4 ft,58.7 ft,2213.1 in,92.2 in,46.1 in,62.8 in,14.7 in,92.2 in,92.2 in,46.1 in,62.8 in,14.7 in,94.5 in,48.4 in,65.0 in,17.0 in,21.5 in,92.2 in,21.5 in,1982.5 in,330 sq ft,94.5 in,21.5 in,"2,031 sq in",338 sq ft,3.2 ft,1.8 ft,35.9 ft,4824.2 cu ft,603.37,47.23,-47.23,0.00,0.00,35.94,29.35,-29.35
0.54,0.32662,48.5 ft,29.3 ft,58.7 ft,2211.1 in,92.1 in,46.1 in,62.8 in,14.7 in,92.1 in,92.1 in,46.1 in,62.8 in,14.7 in,94.4 in,48.3 in,65.0 in,16.9 in,21.5 in,92.1 in,21.5 in,1986.2 in,331 sq ft,94.4 in,21.5 in,"2,035 sq in",339 sq ft,3.2 ft,1.8 ft,34.1 ft,4855.6 cu ft,581.82,47.19,-47.19,0.00,0.00,34.15,29.33,-29.33
0.52,0.32461,46.7 ft,29.1 ft,58.3 ft,2197.5 in,91.6 in,45.8 in,62.8 in,14.4 in,91.6 in,91.6 in,45.8 in,62.8 in,14.4 in,93.8 in,48.0 in,65.0 in,16.7 in,21.5 in,91.6 in,21.5 in,1979.2 in,330 sq ft,93.8 in,21.5 in,"2,028 sq in",338 sq ft,3.2 ft,1.8 ft,32.4 ft,4797.6 cu ft,560.27,46.91,-46.91,0.00,0.00,32.35,29.15,-29.15
0.50,0.32100,44.9 ft,28.8 ft,57.6 ft,2173.1 in,90.5 in,45.3 in,62.8 in,13.9 in,90.5 in,90.5 in,45.3 in,62.8 in,13.9 in,92.8 in,47.5 in,65.0 in,16.1 in,21.5 in,90.5 in,21.5 in,1962.1 in,327 sq ft,92.8 in,21.5 in,"2,011 sq in",335 sq ft,3.1 ft,1.8 ft,30.6 ft,4661.4 cu ft,538.72,46.40,-46.40,0.00,0.00,30.57,28.82,-28.82
0.48,0.31591,43.1 ft,28.4 ft,56.7 ft,2138.6 in,89.1 in,44.6 in,62.8 in,13.2 in,89.1 in,89.1 in,44.6 in,62.8 in,13.2 in,91.4 in,46.8 in,65.0 in,15.4 in,21.5 in,89.1 in,21.5 in,1935.7 in,323 sq ft,91.4 in,21.5 in,"1,984 sq in",331 sq ft,3.0 ft,1.7 ft,28.8 ft,4460.5 cu ft,517.17,45.68,-45.68,0.00,0.00,28.80,28.36,-28.36
0.46,0.30945,41.3 ft,27.8 ft,55.6 ft,2094.9 in,87.3 in,43.6 in,62.8 in,12.3 in,87.3 in,87.3 in,43.6 in,62.8 in,12.3 in,89.5 in,45.9 in,65.0 in,14.5 in,21.5 in,87.3 in,21.5 in,1900.6 in,317 sq ft,89.5 in,21.5 in,"1,949 sq in",325 sq ft,2.9 ft,1.7 ft,27.1 ft,4208.3 cu ft,495.62,44.77,-44.77,0.00,0.00,27.06,27.78,-27.78
0.44,0.30175,39.5 ft,27.1 ft,54.2 ft,2042.8 in,85.1 in,42.6 in,62.8 in,11.2 in,85.1 in,85.1 in,42.6 in,62.8 in,11.2 in,87.4 in,44.8 in,65.0 in,13.4 in,21.5 in,85.1 in,21.5 in,1857.6 in,310 sq ft,87.4 in,21.5 in,"1,906 sq in",318 sq ft,2.7 ft,1.7 ft,25.4 ft,3920.2 cu ft,474.08,43.68,-43.68,0.00,0.00,25.36,27.09,-27.09
0.42,0.29295,37.7 ft,26.3 ft,52.6 ft,1983.2 in,82.6 in,41.3 in,62.8 in,9.9 in,82.6 in,82.6 in,41.3 in,62.8 in,9.9 in,84.9 in,43.6 in,65.0 in,12.2 in,21.5 in,82.6 in,21.5 in,1807.4 in,301 sq ft,84.9 in,21.5 in,"1,856 sq in",309 sq ft,2.6 ft,1.6 ft,23.7 ft,3611.3 cu ft,452.53,42.44,-42.44,0.00,0.00,23.71,26.30,-26.30
